CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat
2596;0;Via Comacchio, 4;ANTICA FARMACIA DELL'ABBAZIA DI CHIARAVALLE SNC;7712200968;20139;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.4374449977;9.218611951;1;Via Comacchio, 4, 20139, MILANO;Via Comacchio 4, 20139, Milano;9.218911022765282;45.4375518373536
2597;0;Via C. Farini, 5 - Ang. Ceresio;GIANNONE;7160600156;20154;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4666212;9.1906166;1;Via C. Farini, 5 - Ang. Ceresio, 20154, MILANO;Via Carlo Farini 5, 20154, Milano;9.181658840123555;45.48365631196262
2598;0;Piazza Freud snc - Staz. F.S. Porta Garibaldi;STAZIONE GARIBALDI SAS DI CRISTINA TOSI & C.;5262890964;20154;15146;MILANO;Staz. F.S. Porta Garibaldi;15;MI;MILANO;30;LOMBARDIA;01/12/2016;-;Ordinaria;1;45.4841153;9.1888315;1;Piazza Freud snc - Staz. F.S. Porta Garibaldi, 20154, MILANO;Piazza Sigmund Freud, 20154, Milano;9.18744042894173;45.483840655316975
2599;0;Via Schiapparelli, 4;PONTE SEVESO;1533800155;20125;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4666212;9.1906166;1;Via Schiapparelli, 4, 20125, MILANO;Via Giovanni Schiaparelli 4, 20125, Milano;9.205341223151908;45.489521137111176
2600;0;Via Buonarroti, 5;FARMACIA WAGNER DI DR. MANCINI GABRIO E C. S.A.S.;8844420961;20149;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.4452423035;9.1025622538;1;Via Buonarroti, 5, 20149, MILANO;Via Michelangelo Buonarroti 5, 20145, Milano;9.155189479716256;45.46746064946043
2601;0;Viale Bligny, 47;NUOVA BERETTA SNC DI SILVIA BASSI & C.;8586580964;20136;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.4510979164;9.1916929843;1;Viale Bligny, 47, 20136, MILANO;Viale Bligny 47, 20136, Milano;9.196398083819048;45.45096347100234
2602;0;Viale Monza, 43/B;BERTA SNC;7087680968;20127;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2011;-;Ordinaria;1;45.4976955255;9.2201620643;1;Viale Monza, 43/B, 20127, MILANO;Viale Monza 43B, 20127, Milano;9.218093360926927;45.49078020483006
2603;0;Via Pacini, 30;FARMACEUTICA BRAMANTE;1032620153;20131;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4666212;9.1906166;1;Via Pacini, 30, 20131, MILANO;Via Giovanni Pacini 30, 20131, Milano;9.229445596312521;45.482248257833746
2604;0;Via Aldini, 108;PIMPINELLI;3709730968;20157;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4666212;9.1906166;1;Via Aldini, 108, 20157, MILANO;Via Antonio Aldini 108, 20157, Milano;9.12922281196262;45.511251401610025
2605;0;Piazzale di Porta Lodovica, 2;CALATAFIMI SAS DR. ZANETTI ANDREA & C.;5707780960;20136;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/08/2007;-;Ordinaria;1;45.4522630404;9.1867058027;1;Piazzale di Porta Lodovica, 2, 20136, MILANO;Piazzale di Porta Lodovica 2, 20136, Milano;9.18595838827982;45.45211061004676
2606;0;Piazza Cinque Giornate, 7;CINQUE GIORNATE SNC;7111920968;20129;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/03/2013;-;Ordinaria;1;45.4620705261;9.2071747478;1;Piazza Cinque Giornate, 7, 20129, MILANO;Piazza Cinque Giornate;9.207450000000051;45.46187000000003
2607;0;Via S. Galdino, 11;CENISIO BONTADINI FRANCESCA;4206570964;20154;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4873063;9.1666522;1;Via S. Galdino, 11, 20154, MILANO;Via San Galdino 11, 20154, Milano;9.166797661377;45.48715967026379
2608;0;Via A. Saffi, 6;CERINI;7734420966;20123;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/07/2017;-;Ordinaria;1;45.5487334657;9.1967951196;1;Via A. Saffi, 6, 20123, MILANO;Via Aurelio Saffi 6, 20123, Milano;9.171882199549927;45.46929687982571
2609;0;Piazza Bausan, 3;BOVISA;2908990159;20158;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4666212;9.1906166;1;Piazza Bausan, 3, 20158, MILANO;Piazza Giovanni Bausan 3, 20158, Milano;9.165170541895186;45.50210323229853
2610;0;Piazza Cavour, 5;COMOTTI;259480150;20121;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4891957954;8.9708569622;1;Piazza Cavour, 5, 20121, MILANO;Piazza Camillo Benso di Cavour 5, 20121, Milano;9.195275236886147;45.472915917017694
2611;0;Corso Concordia, 16;CONCORDIA - DR. PAPA;3861090151;20129;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4678837266;9.2086971454;1;Corso Concordia, 16, 20129, MILANO;Corso Concordia 16, 20129, Milano;9.209938499999993;45.467737470713885
2612;0;Via Orefici, 2;COOP.FARM.DUOMO;774640155;20123;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4647073795;9.1869132052;1;Via Orefici, 2, 20123, MILANO;Via Orefici 2, 20123, Milano;9.187923598534228;45.46402338273989
2613;0;Via Fontana 1 - Angolo C.so Porta Vittoria, 36;COOP.FARM.VITTORIA;774640155;20122;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/03/2013;-;Ordinaria;1;45.4666212;9.1906166;1;Via Fontana 1 - Angolo C.so Porta Vittoria, 36, 20122, MILANO;Via Fontana 1, 20122, Milano;9.203373843326201;45.46207498251485
2614;0;Via Canonica, 6;COOP.FARM.CANONICA;774640155;20154;15146;MILANO;-;15;MI;MILANO;30;LOMBARDIA;01/01/2005;-;Ordinaria;1;45.4781895063;9.1759955504;1;Via Canonica, 6, 20154, MILANO;Via Luigi Canonica 6, 20154, Milano;9.176839799757584;45.47777312989781
